CHEMICAL,CAS#,Formula,MolecularWeight,C_atoms,Carbon_Fraction
Butyl acrylate,141-32-2,C7H12O2,128.17,7,65.6
Butyraldehyde,123-72-8,C4H8O,72.11,4,66.63
Carbon disulfide,75-15-0,CS2,76.15,1,15.77
Carbonyl sulfide,463-58-1,COS,60.08,1,19.99
Chlorimuron-ethyl,90982-32-4,C15H15ClN4O6S,414.8,15,43.43
Chloroacetic acid,79-11-8,C2H3ClO2,94.5,2,25.42
Chlorobenzene,108-90-7,C6H5Cl,112.55,6,64.03
Chlorobenzilate,510-15-6,C16H14Cl2O3,325.2,16,59.09
Chlorodifluoromethane (HCFC-22),75-45-6,CHClF2,86.47,1,13.89
Chloroethane,75-00-3,C2H5Cl,64.51,2,37.24
Chloromethane,74-87-3,CH3Cl,50.49,1,23.79
Chloromethyl methyl ether,107-30-2,C2H5ClO,80.51,2,29.84
Chlorotrifluoromethane (CFC-13),75-72-9,CClF3,104.46,1,11.5
Chlorpyrifos-methyl,5598-13-0,C7H7Cl3NO3PS,322.5,7,26.07
Cycloate,1134-23-2,C11H21NOS,215.36,11,61.35
Cyclohexane,110-82-7,C6H12,84.16,6,85.63
Cyclohexanol,108-93-0,C6H12O,100.16,6,71.95
Decabromodiphenyl oxide,1163-19-5,C12Br10O,959.2,12,15.03
Di(2-ethylhexyl) phthalate,117-81-7,C24H38O4,390.6,24,73.8
Dibenzofuran,132-64-9,C12H8O,168.19,12,85.7
Dibromotetrafluoroethane,124-73-2,C2Br2F4,259.82,2,9.25
Dibutyl phthalate,84-74-2,C16H22O4,278.34,16,69.04
Dichlorobromomethane,75-27-4,CHBrCl2,163.83,1,7.33
Dichlorodifluoromethane (CFC-12),75-71-8,CCl2F2,120.91,1,9.93
Dichlorofluoromethane (HCFC-21),75-43-4,CHCl2F,102.92,1,11.67
Dichloromethane,75-09-2,CH2Cl2,84.93,1,14.14
Dichloropentafluoropropane,127564-92-5,C3HCl2F5,202.93,3,17.76
Dichlorophene,97-23-4,C13H10Cl2O2,269.12,13,58.02
Dichlorotetrafluoroethane (CFC-114),76-14-2,C2Cl2F4,170.92,2,14.05
Dichlorotrifluoroethane,34077-87-7,C2HCl2F3,152.93,2,15.71
Dicyclopentadiene,77-73-6,C10H12,132.2,10,90.85
Diepoxybutane,1464-53-5,C4H6O2,86.09,4,55.81
Diethanolamine,111-42-2,C4H11NO2,105.14,4,45.7
Diethyl sulfate,64-67-5,C4H10O4S,154.19,4,31.16
Diflubenzuron,35367-38-5,C14H9ClF2N2O2,310.68,14,54.12
Diglycidyl resorcinol ether,101-90-6,C12H14O4,222.24,12,64.85
Dimethipin,55290-64-7,C6H10O4S2,210.3,6,34.27
Dimethoate,60-51-5,C5H12NO3PS2,229.3,5,26.19
Dimethyl chlorothiophosphate,2524-03-0,C2H6ClO2PS,160.56,2,14.96
Dimethyl phthalate,131-11-3,C10H10O4,194.18,10,61.85
Dimethyl sulfate,77-78-1,C2H6O4S,126.13,2,19.05
Dimethylamine,124-40-3,C2H7N,45.08,2,53.29
